name,column_name,n_tuples,missing_perc,constancy,imbalance,uniqueness,unalikeability,entropy,density,mean_char,std_char,skewness_char,kurtosis_char,min_char,max_char,ml_method,impute_standard,impute_mode,impute_random,impute_knn,impute_mice,impute_logistic_regression,impute_random_forest,impute_kproto,impute_xgb_imputer,impute_catboost,impute_rfi,impute_autoimpute,impute_mlp
abalone,'Sex',4177.0,0.504,0.3639,1.1745,0.0014,0.6655,1.0963,1.7692,1.0,0.0,nan,nan,1.0,1.0,MLP,0.22870155710371093,0.22439050678569572,0.22319917710396556,0.21614447792027416,0.2156334375175177,0.2255991299938584,0.22434752999306884,0.22439050678569572,0.22439050678569572,0.22824597542902988,0.22328821948028033,0.23181407055111192,0.2235095913279419
abalone,'Sex',4177.0,0.504,0.3639,1.1745,0.0014,0.6655,1.0963,1.7692,1.0,0.0,nan,nan,1.0,1.0,TabNet,0.21181277519384362,0.21000392450504496,0.21931250407226038,0.2181354395156024,0.21447602792740092,0.21453604412244404,0.21693048887732805,0.21000392450504496,0.21000392450504496,0.2236509763727181,0.2227917706425515,0.21638213208743487,0.21979322798976886
abalone,'Sex',4177.0,0.453,0.3799,1.258,0.0013,0.6636,1.0936,1.5505,1.0,0.0,nan,nan,1.0,1.0,MLP,0.2276123479259619,0.22318570143255856,0.22468743122838575,0.2142487886063483,0.21657534385455984,0.22326800058344468,0.2274026284352553,0.22318570143255856,0.22318570143255856,0.22352774543118617,0.22569895573312668,0.2191330448965706,0.2231293904401454
abalone,'Sex',4177.0,0.453,0.3799,1.258,0.0013,0.6636,1.0936,1.5505,1.0,0.0,nan,nan,1.0,1.0,TabNet,0.21349451804161157,0.22828940515584747,0.2080685436828345,0.21615775910096624,0.21739916985900287,0.2258715878420847,0.2166337133014287,0.22828940515584747,0.22828940515584747,0.2229029125622144,0.22013795638095687,0.21287713217132304,0.2221616185100569
abalone,'Sex',4177.0,0.3823,0.3643,1.1634,0.0012,0.6654,1.0964,1.7093,1.0,0.0,nan,nan,1.0,1.0,MLP,0.21685450946167836,0.21887509791326618,0.21053040768196893,0.21612659528253808,0.21612659528253808,0.2189355745526332,0.21715062581887393,0.21887509791326618,0.21887509791326618,0.2215910051285096,0.2154364340155812,0.22061683176022878,0.2205430121578937
abalone,'Sex',4177.0,0.3823,0.3643,1.1634,0.0012,0.6654,1.0964,1.7093,1.0,0.0,nan,nan,1.0,1.0,TabNet,0.204303342561531,0.2079834110178646,0.20288453845788607,0.22233986974792702,0.22233986974792702,0.20956009455185523,0.20657690865893588,0.2079834110178646,0.2079834110178646,0.20411394116046183,0.21180097453731372,0.21001078195157433,0.21726794434129876
abalone,'Sex',4177.0,0.3483,0.3575,1.134,0.0011,0.666,1.0972,11.2747,1.0,0.0,nan,nan,1.0,1.0,MLP,0.22049298590054506,0.21651601993724337,0.22412734090072917,0.2293134817896874,0.2293134817896874,0.2239289642559371,0.22849195485745605,0.21651601993724337,0.21651601993724337,0.22357428674458119,0.22693372792842093,0.2170591255579838,0.22584382538263617
abalone,'Sex',4177.0,0.3483,0.3575,1.134,0.0011,0.666,1.0972,11.2747,1.0,0.0,nan,nan,1.0,1.0,TabNet,0.21290233341235879,0.218637593676216,0.21348306211465468,0.2146600732491481,0.2146600732491481,0.22637277362558522,0.2324739255309071,0.218637593676216,0.218637593676216,0.21894846252594072,0.2287253121223113,0.2069186306443691,0.22635620622105138
abalone,'Sex',4177.0,0.3079,0.3594,1.1393,0.001,0.6658,1.097,0.9795,1.0,0.0,nan,nan,1.0,1.0,MLP,0.22216920267415607,0.21497053459115645,0.2128220887071346,0.22429711715886422,0.22429711715886422,0.22160337789707982,0.21882160137348186,0.21497053459115645,0.21497053459115645,0.22414626182322445,0.21673062223354367,0.21922886688953264,0.21817687476457195
abalone,'Sex',4177.0,0.3079,0.3594,1.1393,0.001,0.6658,1.097,0.9795,1.0,0.0,nan,nan,1.0,1.0,TabNet,0.204358530949587,0.20710616310814228,0.21035158250895195,0.20626701950754794,0.20626701950754794,0.21893577041535775,0.20373171330635803,0.20710616310814228,0.20710616310814228,0.21593980973544263,0.20380321109950397,0.21274565177061916,0.20870258634364403
abalone,'Sex',4177.0,0.2566,0.362,1.166,0.001,0.6655,1.0966,1.7173,1.0,0.0,nan,nan,1.0,1.0,MLP,0.21345016237886746,0.22233451566464005,0.2227722960959276,0.21627826120905136,0.21687142189762976,0.2196666939209208,0.2137242328463037,0.22233451566464005,0.22233451566464005,0.21982472440505096,0.21920379788163843,0.2167713645452739,0.2248890931034322
abalone,'Sex',4177.0,0.2566,0.362,1.166,0.001,0.6655,1.0966,1.7173,1.0,0.0,nan,nan,1.0,1.0,TabNet,0.20649255086094742,0.21647355046744424,0.20636604128691574,0.22258283255910183,0.22147571110604772,0.2194801811092703,0.21252388316358017,0.21647355046744424,0.21647355046744424,0.2056743571695741,0.21192094447248927,0.21533884979397386,0.21545142486296723
abalone,'Sex',4177.0,0.1946,0.3615,1.1772,0.0009,0.6654,1.0964,1.6238,1.0,0.0,nan,nan,1.0,1.0,MLP,0.20995863335988635,0.21817790211206062,0.21887063165113205,0.21827332477432898,0.21827332477432898,0.21941263553524964,0.22019182377759922,0.21817790211206062,0.21817790211206062,0.21977086841610255,0.2194823903494097,0.21694770853479278,0.21975288404618862
abalone,'Sex',4177.0,0.1946,0.3615,1.1772,0.0009,0.6654,1.0964,1.6238,1.0,0.0,nan,nan,1.0,1.0,TabNet,0.2045034200208549,0.2054456135740691,0.21645787317935394,0.21200998732970328,0.21200998732970328,0.21774089959459014,0.20342498788748872,0.2054456135740691,0.2054456135740691,0.21207688735361718,0.21120903514001224,0.2069716457618689,0.21461188585230828
abalone,'Sex',4177.0,0.1594,0.3634,1.1642,0.0009,0.6654,1.0965,11.3258,1.0,0.0,nan,nan,1.0,1.0,MLP,0.21816581846281521,0.21540301214201257,0.21473208871305274,0.22327499163549328,0.22327499163549328,0.22441389612805948,0.22184434629249336,0.21540301214201257,0.21540301214201257,0.22203422051339858,0.22168622761343215,0.22047984766136658,0.2196999229541171
abalone,'Sex',4177.0,0.1594,0.3634,1.1642,0.0009,0.6654,1.0965,11.3258,1.0,0.0,nan,nan,1.0,1.0,TabNet,0.20859065927294348,0.22355945457085513,0.21483130606764145,0.21694655800971074,0.21694655800971074,0.22869158923024277,0.22318648930617155,0.22355945457085513,0.22355945457085513,0.22226991571167667,0.20827470247983196,0.21507559810610943,0.22032908395279857
abalone,'Sex',4177.0,0.1013,0.3641,1.1536,0.0008,0.6654,1.0965,1.907,1.0,0.0,nan,nan,1.0,1.0,MLP,0.2179956909983329,0.21949156034191517,0.21647769048761403,0.2153118182107915,0.2152745939789465,0.21788132775253144,0.2185528338725423,0.21949156034191517,0.21949156034191517,0.21711419843999125,0.21866729199333726,0.2198781189156122,0.21806159781213041
abalone,'Sex',4177.0,0.1013,0.3641,1.1536,0.0008,0.6654,1.0965,1.907,1.0,0.0,nan,nan,1.0,1.0,TabNet,0.20647103971842135,0.2247884438697455,0.21425183865788663,0.20514402551275768,0.2104161434927,0.2076764335821692,0.2028749996251171,0.2247884438697455,0.2247884438697455,0.20542342285233545,0.21156599560930794,0.20750937913885908,0.22134731097616106
abalone,'Sex',4177.0,0.051,0.3643,1.1636,0.0008,0.6654,1.0964,1.1073,1.0,0.0,nan,nan,1.0,1.0,MLP,0.22437431577277833,0.22107757448199128,0.2199810749814874,0.2249077215534832,0.2249077215534832,0.2240197033542747,0.2230104081435429,0.22456441844082833,0.22107757448199128,0.22364086439597947,0.222722608674166,0.2228488575291408,0.2254259259171943
abalone,'Sex',4177.0,0.051,0.3643,1.1636,0.0008,0.6654,1.0964,1.1073,1.0,0.0,nan,nan,1.0,1.0,TabNet,0.20843988655450998,0.22124297438570045,0.22081177922046513,0.21594994200757078,0.21594994200757078,0.21851394035477228,0.21905972527930404,0.22121658435944747,0.22124297438570045,0.2201364667523688,0.21780918690730544,0.2138090907395406,0.21797100975946695
BachChoralHarmony,V1,5665.0,0.4929,0.0428,7.6875,0.0209,0.9814,4.0306,0.0011,8.0,0.0,nan,nan,8.0,8.0,MLP,0.4251313953655552,0.425853698857883,0.3828735415139403,0.16256885822065606,0.3913693601301519,0.21174944815286406,0.14786794981120144,0.425853698857883,0.42622802818045596,0.41597475068882656,0.3932808733128862,0.42714115215189646,0.4176719829888703
BachChoralHarmony,V1,5665.0,0.4929,0.0428,7.6875,0.0209,0.9814,4.0306,0.0011,8.0,0.0,nan,nan,8.0,8.0,TabNet,0.4073238590648619,0.4008310629531143,0.3619500241151598,0.1596753167948143,0.37365216602047574,0.20456818561935763,0.14456187415092275,0.4008310629531143,0.39698032248771964,0.3948489749932711,0.37705907005159034,0.39834642034536927,0.3928363438418293
BachChoralHarmony,V1,5665.0,0.4478,0.039,5.5455,0.0192,0.9813,4.0296,0.0031,8.0,0.0,nan,nan,8.0,8.0,MLP,0.4250983815013814,0.42533667119497637,0.40044180997965517,0.16884119703835992,0.400687147381522,0.21823589035250032,0.16481030336817912,0.42533667119497637,0.4276760685687705,0.4217965121029283,0.4066527410545139,0.42704953585052063,0.4160268992923891
BachChoralHarmony,V1,5665.0,0.4478,0.039,5.5455,0.0192,0.9813,4.0296,0.0031,8.0,0.0,nan,nan,8.0,8.0,TabNet,0.405047795904933,0.4028194021135537,0.3762310807369022,0.1561389025394291,0.38161880906872264,0.2121304386673855,0.15724515903599706,0.4028194021135537,0.4032216997474755,0.4033336531764026,0.38383281991138063,0.4037639147561239,0.3989849672593633
BachChoralHarmony,V1,5665.0,0.4049,0.04,5.625,0.0178,0.9813,4.031,0.0029,8.0,0.0,nan,nan,8.0,8.0,MLP,0.43449631170644765,0.43488021386394443,0.40504424710692705,0.17513560533575373,0.4051083912058294,0.21042350307628688,0.16499142841769657,0.43488021386394443,0.42774008074167635,0.42946172285653905,0.40332353636300894,0.4366581745458178,0.4334935581156501
BachChoralHarmony,V1,5665.0,0.4049,0.04,5.625,0.0178,0.9813,4.031,0.0029,8.0,0.0,nan,nan,8.0,8.0,TabNet,0.41350007274059153,0.4143603320311816,0.3773636693014213,0.17193086764868828,0.38911945823005145,0.20541532688718106,0.15891001401035876,0.4143603320311816,0.406302634431191,0.40771887168533294,0.3808389609462671,0.41182971699839666,0.4136396456859065
BachChoralHarmony,V1,5665.0,0.355,0.0364,5.32,0.0164,0.9816,4.0369,0.0033,8.0,0.0,nan,nan,8.0,8.0,MLP,0.4411515687672879,0.44385785306751363,0.4073860677828982,0.16808126828226563,0.4300068497221886,0.207158968995508,0.1659350647733794,0.44385785306751363,0.4339369889713042,0.43356534209922326,0.4198690396956236,0.44551183275651884,0.43644567254067757
BachChoralHarmony,V1,5665.0,0.355,0.0364,5.32,0.0164,0.9816,4.0369,0.0033,8.0,0.0,nan,nan,8.0,8.0,TabNet,0.418722946812934,0.4162423641395954,0.38202100523059296,0.16466879131602516,0.4006609898837352,0.20547105508347058,0.16006005852961766,0.4162423641395954,0.4084225257448042,0.40792293519584033,0.3941289818446503,0.41473784908707195,0.40875913566261823
BachChoralHarmony,V1,5665.0,0.2879,0.0362,5.2143,0.0149,0.9815,4.0364,0.0062,8.0,0.0,nan,nan,8.0,8.0,MLP,0.44912339602014006,0.4533290815059685,0.4284146935967312,0.1760776895248159,0.4335509106160639,0.2125226267083546,0.18588222167821464,0.4533290815059685,0.4534831880622606,0.44331531764752796,0.4325811038016794,0.45462248742161493,0.4483124580558313
BachChoralHarmony,V1,5665.0,0.2879,0.0362,5.2143,0.0149,0.9815,4.0364,0.0062,8.0,0.0,nan,nan,8.0,8.0,TabNet,0.43286895512262336,0.4274048431879078,0.40667687021663285,0.1798863993535833,0.4128437162638939,0.20940599036415167,0.18040844208958434,0.4274048431879078,0.4278849669936432,0.42312350657991427,0.40824783363644135,0.428254666968816,0.4237837688320782
BachChoralHarmony,V1,5665.0,0.2466,0.037,4.9375,0.0141,0.9816,4.0396,0.0054,8.0,0.0,nan,nan,8.0,8.0,MLP,0.45586869962250054,0.46274213174408235,0.4282906649134369,0.19503633168603188,0.442978741807017,0.21736161151095285,0.19153268247494282,0.46274213174408235,0.4584453702760177,0.4568797970754458,0.43714989853663827,0.4615245176330446,0.448194235702391
BachChoralHarmony,V1,5665.0,0.2466,0.037,4.9375,0.0141,0.9816,4.0396,0.0054,8.0,0.0,nan,nan,8.0,8.0,TabNet,0.44105369444459797,0.43677680477443764,0.4061821724950912,0.19094743058495423,0.42109406648078823,0.21128399805194029,0.1833885076776479,0.43677680477443764,0.4407029173219915,0.4380523483712211,0.4166871900749817,0.44112533844837554,0.42120387910808094
BachChoralHarmony,V1,5665.0,0.1919,0.0363,5.1875,0.0131,0.9815,4.0376,0.0072,8.0,0.0,nan,nan,8.0,8.0,MLP,0.47128900130306517,0.474493099948581,0.45309838404641734,0.20033767152845106,0.4620578757587602,0.21851393039055725,0.19760153569054525,0.474493099948581,0.47175710985782743,0.4716966123775822,0.45801695625159977,0.4728511476572882,0.47174650606792423
BachChoralHarmony,V1,5665.0,0.1919,0.0363,5.1875,0.0131,0.9815,4.0376,0.0072,8.0,0.0,nan,nan,8.0,8.0,TabNet,0.45380300099039245,0.45179888586485706,0.42894066618165105,0.19628102900416083,0.44237263569265295,0.22075471031850974,0.19407865348789352,0.45179888586485706,0.4529274434760745,0.4468148244904365,0.4316723807379255,0.45257693769092616,0.4501282105630752
BachChoralHarmony,V1,5665.0,0.1493,0.0369,4.8108,0.0125,0.9815,4.0371,0.004,8.0,0.0,nan,nan,8.0,8.0,MLP,0.4670301355337615,0.4719589271061614,0.45072026068503507,0.20017978450867707,0.46646629637937476,0.2095573958887949,0.19997666204219736,0.4719589271061614,0.46952796958911613,0.4690933403992301,0.4607494827558485,0.4705910197495549,0.46967936789466047
BachChoralHarmony,V1,5665.0,0.1493,0.0369,4.8108,0.0125,0.9815,4.0371,0.004,8.0,0.0,nan,nan,8.0,8.0,TabNet,0.4510157473707779,0.45434825549608526,0.4339202430087675,0.2001173910049519,0.4384547217046219,0.20289705377458167,0.19282136274786096,0.45434825549608526,0.4510378716813662,0.4544069617471191,0.4440664570631667,0.45293251326008754,0.44897863866074195
BachChoralHarmony,V1,5665.0,0.1045,0.0375,5.2778,0.0118,0.9814,4.0359,0.0058,8.0,0.0,nan,nan,8.0,8.0,MLP,0.48102554300835076,0.480142266687969,0.4695118157464637,0.2039901086693912,0.47550317046713775,0.20599105074772456,0.20306486779920072,0.480142266687969,0.4797803536209558,0.47533497838706845,0.4744190928684271,0.4827780136781494,0.4765360058749707
BachChoralHarmony,V1,5665.0,0.1045,0.0375,5.2778,0.0118,0.9814,4.0359,0.0058,8.0,0.0,nan,nan,8.0,8.0,TabNet,0.45915566311378386,0.4564450962836707,0.44572726050229894,0.20218196355884205,0.4531634472923001,0.2074111065078001,0.20144297261786426,0.4564450962836707,0.4589060203258434,0.45575509316599416,0.45113567673507604,0.4567383795457951,0.4517644165720433
BachChoralHarmony,V1,5665.0,0.0514,0.0367,5.0513,0.0112,0.9815,4.0374,0.0045,8.0,0.0,nan,nan,8.0,8.0,MLP,0.4933855410682846,0.4971502978370552,0.4887914641981997,0.2092809173447422,0.49256565442085093,0.21514705525130337,0.21318275550643184,0.4971502978370552,0.4940478844661905,0.48938773604669833,0.48596129065549976,0.4943826307702165,0.48956544580651234
BachChoralHarmony,V1,5665.0,0.0514,0.0367,5.0513,0.0112,0.9815,4.0374,0.0045,8.0,0.0,nan,nan,8.0,8.0,TabNet,0.47662356692135455,0.46968119558755,0.4639224830879049,0.21080824782310012,0.46524588508822107,0.21625044636327506,0.21017218523192785,0.46968119558755,0.47148132205006554,0.4682932372816361,0.46562455409580794,0.4719894507830913,0.46849356023704325
BachChoralHarmony,V6,5665.0,0.4999,0.8722,6.826,0.0007,0.223,0.3821,34.1665,2.1278,0.3338,0.9029,0.9513,2.0,3.0,MLP,0.4884379492102141,0.492166746946365,0.48928845854132674,0.05619755140380895,0.49076814415838554,0.05527252620912884,0.05243584741133349,0.492166746946365,0.4923170251031675,0.49352433002658963,0.488098213390149,0.4911020729134841,0.4883727860935018
BachChoralHarmony,V6,5665.0,0.4999,0.8722,6.826,0.0007,0.223,0.3821,34.1665,2.1278,0.3338,0.9029,0.9513,2.0,3.0,TabNet,0.4648933403671113,0.46333102491906714,0.45878458222288154,0.04231330070020836,0.47527961999250656,0.0478725671066914,0.04141844818546992,0.46333102491906714,0.46548518292513374,0.4651810703738265,0.46262698462137014,0.46182692236775114,0.46528849559592855
BachChoralHarmony,V6,5665.0,0.4406,0.8861,7.7784,0.0006,0.2019,0.3546,35.2063,2.1139,0.3177,0.9191,0.9803,2.0,3.0,MLP,0.48591432166577564,0.49143556483210604,0.48470555307425717,0.05371773799244807,0.48907764924543273,0.052062329157771634,0.05277478020755749,0.49143556483210604,0.4911635258211814,0.4912465478876599,0.4898295513579215,0.4930879723064434,0.4932456244032485
